clean_tweet	airline_sentiment
united holy high speed internet batman speeds united club iad insanely fast thanks	positive
united website flight booking problems experience obnoxious upsell laden disaster anyone half brain	negative
united flt major delays bc ground crew slow flight crew terrific hours ground	negative
united sorry hate united get see family thursday	negative
united thanks timely service amp great staff getting wife cancun past week honeymoon	positive
united done thanks	positive
united customer service mileage plus customers disgrace spent min phone reset pin number luck	negative
united changes way stick premiere k loyal customers make things harder loyal	negative
united thanks offer finally made destination albeit hours late flight	negative
united airlines cancelled flights oc fll flight today switch notice apology done flying unitedairlines	negative
united would super paid much attention actual fliers credit card holders	negative
united travel lot get still fave ewr cleveland w min layover connect dc best option come	negative
united pm bags still even courtesy toiletries kit flight experience expecting disappointed	negative
united airlines cancelled flights oc fll flight today switch notice apology done flying unitedairlines	negative
united flight lax iad back rows cleaned prior boarding gross find used tissues seat please	negative
united thank	positive
united plus horrible seating poor customer service everywhere flown take away mileage program horrible	negative
united learn listen customers want want virginamerica asks customer want	negative
united customer service	negative
united priceless united stranded daughter hare united zero keep safe alone plastic chair h united air	negative
united finally cancelled flightled	negative
united link email offers u sent year buy transfer miles last expired http co zzps ywve	negative
united thanks finally made missed meetings	negative
united flight originally supposed leave pm amp leave nd time happened	negative
united supposedly delivery believe see	negative
united thank yes hoping speak someone directly appreciate link nonetheless	negative
united sure waited min yay	positive
united hi jh experience united entirely disgusting yes like assistance getting compensated bag	negative
united took picture thursday awesome http co ivgpzsjtkw	positive
united probably someone returned call email case number	negative
united even fit name first two lines yes please pass feedback big downgrade previous years	negative
expiring united offer buy transfer united mileageplus miles discount many offers year http co tz imqzlg	positive
united flight cancelled flightlations one due weather one mechanical paid hotel bag held transfer voucher compensation	negative
united got email reservations got cancelled flightled refunded nothing got refunded yet	negative
united offer flight cancelled flighted stranded away home work	negative
united really trying today	negative
united looks like settled going thx	positive
united busy taking needed get audition	negative
united quick response offering assistance lack follow really service expecting	negative
united stuck iad going hours waiting ferry flight nashville u tell arrive ridiculous	negative
united flt gate agent announcements unprofessional time go back delta	negative
united thanks kp please also mention quiche breakfast tandoori chicken dinner entrees accompaniments truly first class	positive
united flt departure time changed five times last minutes figure solution announce	negative
united bags still houston since friday still reimbursed baggage fee	negative
united tell	negative
united flight already cancelled flightled trying get home two days staff unhelpful	negative
united flight worse last flight attendants even know whether plane equipped power outlets seats	negative
united flight agent wandered pilots came looking went charge personal phone txting	negative
united waiting flight memphis incredibly rude gate agent waited departure time announce delay rude	negative
united see need spend extra bc ur equipment failure	negative
united need make changes reserved seats bought tickets error amp comp seats	negative
united power outlets seats hour flight california seriously airlines failing pathetic	negative
united thanks kp luckily transfer maintenance issues still delayed miss transfer	negative
united could please send phone refunds department submitted claim email without success	negative
united person sitting denver three hours want get plane please let go home	negative
united flight delayed three hours pilot never showed	negative
united need get ric tonight ewr hrs	negative
united next flights miami another airline	negative
united super frustrating folks united ticket counter pittsburg honoring media rate unitedfail	negative
united minutes arrival bags people ua den ewr long wait ual rep comes	negative
united karen found unhelpful rude called united time amp told could board karen would accept	negative
united crossed prior times carriers issue karen rude untrained unhelpful also spoke	negative
united nexus confirmed crossing via air car boat travel nexus	negative
united employee yelled employee stood others whispering pointing behind counter	negative
united refused boarding nexus nexus confirmed refused	negative
united good note employees encountered newark fabulous late flight connecting flight got	positive
united u lost bag would refund bag fee make sense yes already called cust svc said	negative
united yall tried little bitty plane flying boston hate little planes	negative
united good thing holding flight peeps late flight connecting flight still make destination time	positive
united stay warm passing chicago next week	positive
united refund request functionality http co imdckodfx broken get time error	negative
united ny njairports newark land minutes early lose time waiting tarmac gate	negative
united giving direct flight iah honolulu rd attempt years rd delay meal voucher wow customer service	negative
united nearly hours late flightr still idea never fly united help	negative
united wi fi broken plane outage friday southwest get right every plane united	negative
united wifi onboard far superior pricing performance user perceived bandwidth late flightncy recent gogo experiences	positive
united second day amp attempt trying leave iad amp another plane delayed mechanical issues hour delayed	negative
united plane coming delayed almost hours plane	negative
united fast enough excuse service big hubs outdated craft southwest wifi awful	negative
united thankful great service newark seats fixed seated daughter fab landing fort myers	positive
united mother flight delayed phl ord way nrt gate refused upgrade platinum blegh	negative
united late flight everyone braved weather passengers waiting flight crew really	negative
united miserable trip lost bag sat found mon lost shipping nd day ground tues might return flight home	negative
united spending afternoon mia fault lounge inconvenient	negative
united costumer service sucks waiting week response	negative
united somehow think going stuck paying hotel room denver without winter clothes dime guess see	negative
united course need help dming ladies gents day solution hope best lax	negative
united brandi zabsonre denver deserves raise bringing delight terrible travel situation big ups http co tk aopdtsq	positive
united denied use rear facing car seat ua erj confirm actual policy	negative
united better hold flight tucson landed houston hour delay minor computer problem	negative
united dropped luggage iad months ago repair damages heard anything since get back	negative
united feck guys stop cancelled flightling flights ewr ric weather fine locations	negative
united flyana official pleasantly surprised find ana made major upgrades transpacific route flights planes service	positive
united step cancelled flight flight step notify customer step charge food try survive wait brilliant	negative
united besides small degree self interest take route several times year amp would hate situation	negative
united rebooked casleah split take different flights pilot ran hours frustrating	negative
united worries tweets make sure tag line fly friendly skies	positive
united jsumiyasu thankful united ground staff put last seat last flight home late flight still home	positive
united appreciate follow	positive
united gist flight attendant told	negative
united btw true remind flight staff checking even indicating meal prefer reservation	negative
united took aback response flight attendant put responsibility squarely back passenger shoulders	negative
united u cld explain disorganized inefficient company w surly obviously unhappy employees stays business	negative
united sat airport hrs still sitting gate sigh	negative
united gold star united change flight miss connections accommodate much late flightr arrival time happy	negative
united first class cockup http co oh cfv dhr	negative
united thank new club hare comfortable made difficult weather days proficient enjoyable	positive
united let get iah hnl direct weather delay sfo leg stop reactive proactive	negative
united bad coffee juice ok getphilz united terminal sfo airport http co sg iqqfvso	negative
united mot getting refund	negative
united nothing apparently flown w times last weeks experiences incl today clusterfucks	negative
united get name group sitting behind us think window seat overheard	negative
united know united club needs power moar power insufficient outlets roadwarrior ord	negative
united thrilled carry checked two nasty gate agents see entire empty bin boarded last	negative
united business usual meant dropping bully mentality fostering inspiration greater business employeerelations	negative
united ridiculous fly outdated anywhere much less btwn iah sfo power ports wifi personal entertainment torture	negative
united last night waited forever gate someone corporate dispatch forgot call crew unfriendlyskies	negative
united broken entertainment system hour nyc flight terrible cabin crew service online complaint form work hopeless	negative
united call work tell fault late flight	negative
united new apple cr pe amazing live ua really nice crew americanair biscuits ua needs http co gz gqdt jj	positive
united officially worst delayed least helpful airline ever misfortune flying	negative
united items sentimental value heartbroken missing	negative
united still waiting reply	negative
united please see flight attendant enough room head bags carry save time	negative
wanted get bag benefit instead get pricing three tickets adding card mp visa option united	negative
united tried dm would go thru sure	negative
united link current status flights airports fly bwi ewr mco morning yet yet tell problems except see snow	negative
united like delays less one plane connect voucher	negative
united hope nicer flight time try things right sold tickets connetion	negative
united got gate iah time given seats closed flight know people arriving wait	negative
united yes waited line almost hour passengers left wanting wait past	negative
southwestair still waiting hit one hour	negative
southwestair although happy cancelled flighted flight home tomorrow phx atl dca happy easy rebook	negative
southwestair hello hold extremely long time confirmation amp get boarding pass tried numerous times	negative
southwestair frustrated loooooong wait time speak live person cannot get boarding pass flight tomorrow	negative
southwestair still update text amp still response email fr sr feel like yr losing customer service care	negative
southwestair agents ones rude unhelpful prompted initial tweet easy fix	negative
southwestair wife group prev flight got bumped reason alone two kids least put group	negative
southwestair flight delayed hrs months pregnant amp supposed caring mom whose surgery upset	negative
southwestair thank much completely made things right	positive
southwestair love always get best deals	positive
southwestair hold min far trying book seat infant price increased meantime	negative
southwestair poor performance around paid express checkin weeks ago even leverage bullshit	negative
southwestair thx make right help meagan fouty brancato fl dfw gate preboard w kids b group please please	positive
southwestair logically would think check people board could drove home time waiting	negative
southwestair thanks southwest saving trip sweetheart going miss seeing altonbrownlive thanks sohappy	positive
southwestair someone call back hold two times today min still gotten	negative
southwestair never mind moved flight tomorrow thanks help	positive
southwestair managed get sorted phone good luck dealing snow texas	positive
southwestair grounded flights b c equipment problems amp rude wife traveling alone w young kids never	negative
southwestair oh look delayed flight additional half hour arriving officially five hours planned	negative
southwestair weather bc system outage hopefully everything goes smoothly thank follow	positive
southwestair belt issues rough day worst part traveling month old wait outside degree	negative
southwestair moved pm flight main concern luggage arriving told sw	negative
southwestair used always fly southwest	positive
southwestair got bags hours late flightr offer go pick taxi costs one way spent inconvenience	negative
southwestair thx expecting credit leg	negative
southwestair appreciate getting gate issue figured grr plenty open gates yet sit wait tarmac	negative
southwestair minutes hold waiting ridiculous	negative
southwestair u seen messages past hour	negative
southwestair thank awesome flights sweetheart got screwed flyfrontier managed scramble get sw plane today	positive
southwestair thanks much	positive
southwestair round trip tickets arrived auction post masters invitational thanks southwest http co mrfbjtepef	positive
southwestair went purchase flight began processing even minutes earlier points gone help	negative
southwestair upset luggage damaged rude employee laguardia airport help	negative
southwestair tv stream means get spend flight watching women world cup finals throwback bestflightever	positive
southwestair heavenlychc least enjoy free cocktail two	positive
southwestair agree rt news one airline fly away favorite dia newsbusiness http co wlainimy	positive
southwestair flight matters hell next get luggage properly transferred facepalm smh	negative
southwestair phone service sucks	negative
southwestair airport snow removal method keep good work folks cessna become http co pofsxojsy	positive
southwestair people exit row still supposed give verbal approvals never asked flight	negative
southwestair arrival delayed nearly hours yeah entire day airport idea stress less vacation fail	negative
southwestair oh company caused us lose entire day vacation cancun de boarded waiting another plane	negative
southwestair trying change reservation hold minutes online directed call help	negative
southwestair first call got dropped waited mins second ran time try late flightr way online	negative
southwestair yo trying make change reservation whenever select flight says unable price please help	negative
southwestair great de boarding perfectly plane shot fml plans screwed thanks nothing southwestair	negative
southwestair let us plane bc toilets done even work goes family vacay playa del carmen mexico neveragain	negative
southwestair thanks apology unfortunately one many bad experiences longer flying southwest	negative
southwestair told customer service customer relations extend expiration date unused travel funds	negative
southwestair smiles two hours ugh get vouchers inexcusable esp pre flight check ok	negative
southwestair horrible experience passenger size seat offered voucher christine c http co xzrk wvq	negative
southwestair yes much looking forward using airlines future flights never	negative
southwestair need learn treat people respect little dignity fail	negative
southwestair redeem points packages magically gone time finally got felt like baitandswitch	negative
southwestair think get faster response twitter call	negative
southwestair watch staff check passenger list twice first time forgot look ids brutal	negative
southwestair flight chi buf last night almost hour delay cuz someone got plane without pass sounds safe	negative
southwestair thx quick response action bf make good use voucher satisfied happycustomer	positive
southwestair nothing help us restore barely expired rapidrewards points	negative
southwestair rapid rewards program sold short lasttweetaboutthis still disappointed	negative
southwestair freezing plane	negative
southwestair airline people screwed boarding passes way back puerto vallarta horrible	negative
southwestair groupa group c never got sit next south west flight even honey moon	negative
southwestair flight atlanta getting cancelled flightled schedule phone hours rep bumping us	negative
southwestair due apparent water issue checked fine checks husband already deal first	negative
southwestair u lot pissed hungry tired people stuck midway hours scheduled departure inexcusable	negative
southwestair know lost baggage portal http co huclxluv h work mobile http co zr qpcr	negative
southwestair going charge wifi us solid make sure take length flight open page	negative
southwestair website reverted st flight minute delay changed reliable information	negative
southwestair swa helps hotel industry always book flights day need somewhere swa consistent cancelled flights delays	negative
southwestair unfortunately call answered service horrid swa role model finger pointing amp excuses disappointed	negative
southwestair frustrating indeed especially one knows issue	negative
southwestair hold customer service may quicker rebooked trip lower fare difference go	negative
southwestair thx responding	negative
southwestair booked flight phone never got confirmation email would go getting	negative
southwestair supposed take almost hours ago vacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze	negative
southwestair come getting points buy rapid reward shopping site	negative
southwestair mins answer wife baby need get flight arrived hrs prior please help venetia crook	negative
southwestair wife month old might miss flight next direct pm mother law hold customer support	negative
southwestair flight fll atl wife traveling infant line check baggage people long due computer system crash	negative
southwestair thanks sent dm let know oyu need additional information	positive
southwestair hey friends phone list number ivr hangs multiple times sure proceed	negative
southwestair strives customer centric everything communications advertising customer journey etc anamarketers	positive
southwestair la always traffic insane one issue flight	negative
southwestair insane traffic la trying call schedule flight phone minutes nothing	negative
southwestair longer change trips companion online years get message done online	negative
southwestair adding rr number marriott stay hard take rr number checkin marriott phone cs helpful	negative
southwestair spiritairlines fly toronto killing smalls	negative
southwestair customer centricity knowing people anamarketers	positive
southwestair used guys travels last experience never use southwest worstcustomerservice	negative
southwestair vipliveinthevieyard first time tried redeem pts anything really go well disappointed	negative
southwestair ok thank hope	positive
southwestair way receive refund trip cancelled flight online instead calling phone lines super busy	negative
southwestair intuit jhamilton moms careers day trip la intuitlife leanin http co qjbcv jzq southwestairlines	positive
southwestair switching planes due mechanical problems reboarding work end long line stuck middle	negative
southwestair booked via phone calling list preferred kta get added ticket must use web	negative
southwestair tried vip live vineyard yr site went time got redeem pts packages gone	negative
southwestair best airline hands amazing customer service bags free affordable flights happycamper	positive
southwestair thanks ella mae las counter going beyond help us get back abq flight cancelled flightled	positive
southwestair thank taking good care people als http co yywafkfi kevinswan alstdi life story	positive
southwestair smoooothest flight attendants southwestsmoothie http co vr k lai	positive
southwestair southwest airline cancelled flight flights charleston pm flight cancelled flightation really weather relate flightd	negative
southwestair thanks text exactly timely data throughout issues today maybe http co aau mka zy	negative
southwestair called rep pleasant less helpful told sol train consistent cx	negative
southwestair year customer lost inches really hurt every time person front shifts raps knees	negative
southwestair would great atleast next husband flying reservation	negative
southwestair customer relations still open texas	negative
southwestair thank tip	positive
southwestair hate evolved seating knees seat pocket http co fornpf ky	negative
southwestair thanks team dealing flight houston	positive
southwestair bumped preboard flights fat whatever reason thanks	positive
southwestair heart southwest commercials aimed satisfy nano smattering travelers destinations	negative
southwestair etd swa phl appears delayed info available gate	negative
southwestair tell cancelled flightled flight vs delay	negative
southwestair bday yesterday girl gave birth first born get courtesy flight change lynn thanks	negative
southwestair need know status cancelled flightled instead delaying flight	negative
southwestair weather time cancelled flighted meeting today	negative
southwestair left ipad seat pocket filed lost item report received exactly week late flightr record unbelievable	positive
southwestair flight msp cancelled flighted	negative
southwestair luv please stop overheating planes second flight row feels like sauna	negative
southwestair anyone help upgrade buisness select cant seem get hail right area know guys good	positive
southwestair asked lindsey call instead dm like schoolgirl far call getting tired typing little notes	negative
southwestair give us clever advertising bagsflyfree badpolicy allows cheatcustomers	negative
southwestair principle hard get mugged amp upset took money amp give anything wrongiswrong	negative
southwestair customer service use words wasted time took money badbussiness theft http co zaq lt f	negative
southwestair three hour flight orlando wifi uncool firstworldproblems	negative
southwestair loving new planes lighting wish windows larger http co h uj cjg	positive
southwestair would like ask bags picked pit amp taken hotel airport someone contact	negative
southwestair customer service fll bwi pit terrible one knows bags job clothes amp gear	negative
southwestair multiple attempts finally able submit late flight last night	negative
southwestair arrive find already cancelled flighted options miss meeting might know show	negative
southwestair darn bought wrong device way switch sure	negative
southwestair cool shot moon one fleet http co kl baimes	positive
southwestair hey remember time lost husbands bags filmjobnoequipment nowarmclothes	negative
southwestair looking forward flying swa friday luv airline dtw mdw tus	positive
southwestair love airline much thanks much service great snacks amazing everything outstanding thanks	positive
southwestair need redeem lost respect tonight lostbags filmjobnoequipment	negative
southwestair way fuck lose c istudios bags husband warm clothes equipment youdidit notcool	negative
southwestair wifi stays connected lifetime higgs boson	negative
southwestair phone agents able give correct departure times cun checkin online international	negative
southwestair making miss thebachelor right wah	negative
southwestair great flight cabo last week family smoothflight frequentflyer	positive
southwestair let bags flutter charge travelers change dates fullprice let travel	negative
southwestair late flightst ad makes happy flying days bethonors	positive
southwestair fact u see black history month months year honorable economic base corp like u future	positive
southwestair awesome flight dallas ny virgin america refused bc child peanut allergy u guys thanks	positive
southwestair let send dm follow lovedflyingwiththem notanymore wrong badpolicy	negative
southwestair welcome thoughts nearly entire plane	negative
southwestair flight wifi tmobile wifi calling makes best combination love texting feet air	positive
southwestair become like every airline crooked believe taking shouldwearmasks shocked	negative
southwestair conf f neqm flight delayed hours friend waited bday please follow	negative
southwestair twitter cust svc rule dont say fell short told u u u cant solve problem say anything	negative
southwestair disappointed service received checked online checked flight status online checked airport	negative
southwestair great day air http co ync zut zz	positive
southwestair thanks	positive
southwestair thanks two smooth safe fast flights boston houston luvswa http co elhxuv uj	positive
southwestair really love customer service lou ann phx rocks thanks sw ourguest	positive
southwestair disappointed customer service right definitely feeling luv worse nd time winter	negative
southwestair katie gate c denver international fantastic customer service helping new flyers thx amazing staff	positive
southwestair kudos bag handler dtw gate pm ran keep bags hitting ground degree temp http co txu tsfkj	negative
southwestair crew flight awesome tell sent tweet maybe give free wifi canthurtasking	positive
southwestair thankyou	positive
southwestair happy enter sweepstakes nutsaboutsouthwest	positive
southwestair thanks great customer service today	positive
southwestair beyond ready	positive
southwestair called told bag made phl still delivered call delivery service	negative
southwestair favorite airlines never issues plus crew entertaining	positive
southwestair way give voice customers pay services satisfactorily delivered justsayin	negative
southwestair flight attendants really funny sass giving life	positive
southwestair genuinely surprised upgrade people cancelled flight flights least put comparable spot	negative
southwestair following thank	positive
southwestair would someone please dm customer relations number website customer service	negative
southwestair second time row received text updates flight time change offer use	negative
southwestair cancelled flightled flight back queue want charge business class stay classy	negative
southwestair hope flyers get credit sort delays cancelled flightlations shittydeal notimpressed	negative
southwestair taylorlumsden taylor u gotta love swa responsiveness least huh	negative
southwestair good thanks	positive
southwestair thank	positive
southwestair love taking money taking halfway home sorry late flight	negative
southwestair oh ok good looking forward escaping cold bit thanks	negative
southwestair wifi slow point one get internet ugh	negative
southwestair oh worries never seen today mean great card	positive
southwestair thank thank thank last attempt win destinationdragons tickets success could happier	positive
southwestair flight phx lax wheels stop glad home thanks professionals front cabin	positive
southwestair eyes next steps improving inflight wifi runway girl http co h ht oz	positive
southwestair evennotified us theflight isdelayed via email text phone call wererunning late flight would pissed unreliable	negative
southwestair tweet weekend bad weather closes customer relations center process refunds cancelled flighted flights	negative
southwestair stop cancelled flighting flight us history tests take chemistry things learn understand	negative
southwestair mdw san flt attendant melissa awesome fast smiling great weather cancelled flight day b welcome	positive
southwestair area pic taken see albums	negative
southwestair thank great customer service far accidents happen understand hopefully everything works	positive
southwestair question crazy boarding procedure confusion prevent fistfights good seats	negative
southwestair thanks quick response call daily wait days	positive
southwestair prove cuz southwest people even know behind schedule	negative
southwestair seeing workers time time going beyond love flying guys thank	positive
southwestair u bae u lost bags clue happened hours	negative
southwestair prove	negative
southwestair travel agent darrel love field hosting paper airplane contest entertain children awesome see	positive
southwestair big kudos staff today dallas love field lifting everyone spirits today delays cancelled flightlations	positive
southwestair fun delay nashville las vegas crew gate c desk awesome patience luvswa	positive
southwestair thinks voucher makes spending hrs plane landing airport took really	negative
never got strip fast stoked special imaginedragons show tonight thx southwestair http co topqmvqnjp	positive
southwestair problem apologies help results matter proving impossible find anyone interested	negative
southwestair telling fam vegas	positive
southwestair thank	positive
southwestair new mkt strategy average like rest whathappend rr points devalued http co mdbdyomrs	negative
southwestair scavenger hunt locations anything common playing detective trying figure one atl	negative
southwestair ruined sunday hours delays dia bags wrong airport deliver insult injury	negative
southwestair bring back jackson ms miss terribly around airlines horrible	positive
southwestair hours degree difference yes please mht mco sadie http co mraw qdw	positive
southwestair sent looking functionality app though one click action	negative
southwestair like kelsey said really bad spot locals know long takes find parking walking bellagio	negative
southwestair looks like bellagio good luck people see show vinyl	positive
southwestair pair tickets waiting sports practice live definitely know imaginedragons	positive
southwestair love southwest guys good http co x tdy dbh	positive
southwestair destinationdragon tix tonite inconvenience since play scavenger hunt	negative
southwestair crew great job keeping everyone informed delays givethemraises	positive
southwestair right delayed crabby also allow one family member purchase earlybird check hold rows	negative
southwestair really easy locals get strip book	positive
southwestair luv new luv television commercials traveled airline last year return trip nyc feltthelove	positive
southwestair people pre boarded needed wheel chair plane case boarding	negative
southwestair best airline	positive
southwestair netneutrality nice see prioritize internet traffic streaming service web sites	positive
southwestair poor customer service displayed weekend storm stuck tarmac hours answer	negative
southwestair thanks getting us paradise safely http co kdzqczlpyr	positive
southwestair feeling frustrated bought wifi onboard load email	negative
southwestair go ahead start scavenger hunt pm today work destinationdragons	positive
southwestair let one person board early bird save seats entire party notcool flight	negative
southwestair awesome staff check desk paper airplane race sw gift card keep ppl entertained delays	positive
southwestair get gin amp tonic	negative
southwestair sick joke toyingwithouremotions	negative
southwestair please explain every flight dallas going today except pm	negative
southwestair continue airline choice united frustrating travel day experienced delays gate changes	negative
southwestair got call apologizing personally long waits last week trying rebook flights class act appreciate	positive
southwestair fox news serious potential wanna get away commercial debacle real fire kristi capel	negative
southwestair appreciate response constant changing flight time frustrating say least toughtomakeplans	negative
southwestair long delayed boarding get free drink gettingthirsty	negative
southwestair seem fair bags need fit seats need fit	negative
southwestair terry hero got husband back thru security retrieve cellphone left plane austin terry u rock	positive
southwestair wanted change anytime flight leaving phone hold mins phone answers says sorry dice	negative
southwestair sincere cancelled flighted flight made drive hours get home	negative
southwestair terry hero got husband back thru security retrieve cellphone left plane austin terry u rock	positive
southwestair terry hero got husband back thru security retrieve cellphone austin terry rock	positive
southwestair thanks guys best	positive
southwestair stick flying free southwest goes son works wonderful company moms fly free	positive
southwestair pretty terrible customer service sat hold min busy signal disconnected airlines suck	negative
southwestair hooking us getting us tampa flight cancelled flightled morning grateful businesstrip	negative
southwestair love passbook update used day released finally thank	positive
southwestair hdsportsguy yes hope update soon need clothes meeting tomorrow	negative
southwestair safety dos ts announcer flight midway mdw pittsburgh pit	positive
southwestair fair set payed full seat get access full seat http co sba aricyq	negative
southwestair sorry bother hold hours minutes continue holding call back	negative
southwestair another great trip lax las bna thanks much	positive
southwestair checkin lame business really last seat broad shoulders haha	negative
southwestair yeah somewhere hopefully getting back today frustrated tweeting	negative
southwestair completely understand act god weather relate flightd cancelled flightlation days without reimbursement kind unacceptable	negative
southwestair expensive go vegas stops late flight june get non stop competition	negative
southwestair delayed twice cancelled flighted sent complaint email yet response need explanation pls notsatisfied smh unhappy	negative
southwestair got help nice lady phone georgia thank	positive
southwestair flight resume see open schedule	negative
southwestair thanks quick reply travel lot much lol	positive
southwestair sound hopeful thin device hope right person found time	negative
southwestair bag shown luv make phl	negative
southwestair regret flying morning virginamerica support business travelers neverflyvirginforbusiness	negative
southwestair thanks go motions shortly flight yesterday wonder quickly flight attendants notified	positive
southwestair many others know stopping non stop flights atl hartford ct april	negative
southwestair nice touch passbook integration	positive
southwestair companion pass flyer airlines abused every airport	negative
southwestair disappointment blatant disregard business select customers becoming problem pushing	negative
southwestair awesome thanks guys rock	positive
southwestair hello remaining credits account refunded back credit card choose lower price flight	negative
southwestair eventually arrived seemed really slow	negative
southwestair bags way chicago without help confirmed flights told room screwed	negative
southwestair recieved email memphis station hopefully bag	negative
southwestair landed phl row window cover n sw could use luv http co wqzztiemx	negative
southwestair thanks adding passbook ability hopefully group passbook tickets future somehow	positive
southwestair yep certain flight	negative
southwestair arrived late flight pilots got us dia time impressive outstanding greatservice allgood	positive
southwestair would appreciate thank	positive
southwestair never got email confirmation ticket credit card charged phone wait time crazy chat	negative
southwestair res chg online app work still hold faster hubby drive airport make change counter fail	negative
southwestair friends boston stuck denver name jane rncahill please contact	negative
southwestair one find bag need everything next two hours	negative
southwestair able sit seat since guy next using worstflightever ideserveareward http co l hsnlgie	negative
southwestair glad know flying luv airline tomorrow	positive
southwestair yes file report treated rather rudely midway baggage claim wait days get luggage	negative
southwestair would still companion pass ridiculous airline stopped partnering hilton hotels genius	negative
southwestair got companion pass trying add companion flgt get purchase error invalid loyalty member account status help	negative
southwestair still heard thing	negative
southwestair thank great customer service trying make san antonio staff alerts helpful boo ice	positive
southwestair open seating like open marriage much love strangers	positive
southwestair hope real life scene movie flight	negative
southwestair lukewyckoff name jane wanted call	negative
southwestair matthewebel love flying southwest excellent service take seriously	positive
southwestair coachgs even better price changed minutes since talked lady still honored cheap	positive
southwestair password reset email incredibly slow arrive today checked spam folder web site says minutes	negative
southwestair terrible service three airports hours glad care kind need home sellmypointssoon	negative
southwestair thanks confirmation number dmed appreciate help	positive
southwestair hold min estimated answer time help	negative
southwestair going start charging consistent body pat downs starting feel like piece meat punishedforflying	negative
southwestair wait times customer service line tried x fri min	negative
southwestair flight delayed hours another week another delayed flight	negative
southwestair bag possession clothes bag	negative
southwestair really going let delta virginamerica get best http co vudwjm lyb	negative
southwestair please get back airtran credit q vnmb call told never get email call back	negative
southwestair pleaseeee resume direct flights fll phl want fly anyone else	negative
southwestair show destination clothes suitcase nakedmeetings awkward	negative
southwestair anyone realize banning peanuts flight due allergic person ignores p nut oil amp dust previous flights	negative
southwestair customer service rude bothered calls idea going sighed heavily phone unbelievable	negative
southwestair nelsjeff hrs late flightr human interaction ended ing completely new flight last flight sell	negative
southwestair loses baggage day ago still idea interest finding items new job bag unacceptable	negative
southwestair sent dm thanks attentiveness matter	positive
southwestair fixing wifi rd flight working series plane like old plane	negative
southwestair mdw san like flights watching free tv works hardly access websites including	negative
southwestair almost gate sf please wait seconds	negative
southwestair rt kkwhb paid early bird boarding got b said lady well system dead understand	negative
southwestair flights booked saying wait tomorrow	negative
southwestair one planes thanks taking arizona http co finq fh ue	positive
southwestair gate agent gave wrong departure info caused miss flight stand nothappy	negative
southwestair thanks	positive
southwestair bag lost according rep even know please help	negative
southwestair sent dm details thanks	positive
southwestair thank confirmation maybe people flight directional dislexia	positive
southwestair really carriers staffed got triple looped one employees sight okc	negative
southwestair thank cancelled flighting flight last minute course gis missing one full day trip thanks	negative
southwestair got home hour half late flight least baggage delivered soaking wet	negative
southwestair know beyond awesome pair tickets imaginedragons show atl girl dream destinationdragons	positive
southwestair yes everything worked great	positive
southwestair show love companion flight please thank	positive
southwestair cancelled flightled flight rescheduled ewk gave pseudo voucher directed worst daysinn existence fail	negative
southwestair loved	positive
southwestair needs train employees lease somewhat empathetic lose luggage monika mwa needs pr lesson	negative
southwestair completely let tonight gate agents ambivalence much sad amp	negative
southwestair early frontrunner best airline oscars	positive
southwestair flight cancelled flightled new flight hours late flightr sleep airport tonight cant even give boarding group seat thx	negative
southwestair right traveling day guys dropped ball making long night	negative
southwestair jparkermastin customer service passive response disappointed flown sw rethinking	negative
southwestair broke stroller wife baby gate checked told problem calling list preferred line	negative
southwestair joke return flight delayed row new record guys	negative
southwestair nbd able figure workaround wanted help got bags less hours late flightr muchas grassy ass	negative
southwestair luggage delivery really told midnight multiple times lie crazy bad business	negative
southwestair thx follow sent dm	positive
southwestair get common courtesy phone call answered either policy bad people fired dissaponted	negative
southwestair ty consideration	positive
southwestair apologies whatever please deliver bags like said would feel like employees lying	negative
southwestair robot running account one remember anything ask conversation	negative
southwestair never really lost put another flight knowledge sure flight ty	negative
southwestair crew wn san sfo brilliant rita hilarious know great flight	positive
southwestair responding specialolympics athletes notcool southwest	negative
southwestair whole family special olympic athlete even call	negative
southwestair would really like baggage yesterday employees akron giving tough time	negative
southwestair thanks excited see	positive
southwestair glad appreciate last dollar ever get thanks wretched customer service	negative
southwestair waited mins baggage mdw gt mem flight service suspended drink	negative
southwestair thanks helping mom allegiantair let get plane orlando best customerservice	positive
southwestair trying rebook fare wanna get away pricing disappeared time refreshed normal	negative
southwestair kudos crew flight grr making special memory sweet young passenger momma well done	positive
southwestair thank uxzj paid early bird sat back	negative
southwestair good beers oscars ar dia	positive
southwestair fly midway minute wait bags needed sunday night	negative
southwestair luv companion pass	positive
southwestair ok supposed california hrs ago	negative
southwestair need cancelled flight one leg flight seem online hold phone minutes help	negative
southwestair list preferred den dal flight cancelled flightled min prior boarding best option tue afternoon seriously epic fail	negative
southwestair understand consistent consistent years known around country	negative
southwestair thank	positive
southwestair dealing multiple offices last days youve completely lost customer unless bag back	negative
southwestair got call rdu baggage except help bc get flying back home	negative
southwestair example pay hotel amp food transport alternate city flying give clear record alt flight	negative
southwestair tough take zero meaningful assistance stranded days another matter looking signs care abt cust	negative
southwestair apologize something words mean nothing actions work eom	negative
southwestair hour half came back damaged happy	negative
southwestair customer service rather inconsistent information	negative
southwestair pulling runway making new friends seat mates thanks response cb	positive
southwestair make us tru find space flights customer service bad spiritairlines	negative
